Area,Zone,Ward
01-Birjapur,3,1
02-Ambedkar Nagar,1,2
03-Girdharpur,2,3
04-Ishapur Yamunapar,1,4
05-Bharatpur Gate,1,5
06-Aduki,3,6
07-Lohvan,1,7
08-Atas,4,8
09-Gandhi Nagar,4,9
10-Aurangabad First,3,10
11-Tarsi,3,11
12-Radhe Shyam Colony,2,12
13-Sunrakh,4,13
14-Lakshmi Nagar Yamunapar,1,14
15-Maholi First,3,15
16-Bakalpur,2,16
17-Bairaagpura,2,17
18-General ganj,1,18
19-Ramnagar Yamunapar,1,19
20-Krishna Nagar First,2,20
21-Chaitanya Bihar,4,21
22-Badhri Nagar,1,22
23-Aheer Pada,1,23
24-Sarai Azamabad,2,24
25-Chharaura,4,25
26-Naya Nagla,1,26
27-Baad,3,27
28-Aurangabad Second,3,28
29-Koyla Alipur,3,29
30-Krishna Nagar Second,2,30
31-Navneet Nagar,2,31
32-Ranchibagar,3,32
33-Palikhera,3,33
34-Radhaniwas,4,34
35-Bankhandi,1,35
36-Jaisingh Pura,2,36
37-Baldevpuri,2,37
38-Civil Lines,3,38
39-Mahavidhya Colony,2,39
40-Rajkumar,1,40
41-Dhaulipiau,3,41
42-Manoharpur,1,42
43-Ganeshra,2,43
44-Radhika Bihar,2,44
45-Birla Mandir,2,45
46-Radha Nagar,2,46
47-Dwarkapuri,2,47
48-Satoha Asangpur,2,48
49-Daimpiriyal Nagar,1,49
50-Patharpura,4,50
51-Gaushala Nagar,4,51
52-Chandrapuri,3,52
53-Krishna Puri,1,53
54-Pratap Nagar,2,54
55-Govind Nagar,2,55
56-Mandi Randas,2,56
57-Balajipuram,3,57
58-Gau Ghat,2,58
59-Maholi Second,3,59
60-Jagannath Puri,2,60
61-Chaubia Para,1,61
62-Mathura Darwaza,4,62
63-Maliyaan Sadar,1,63
64-Ghati Bahalray,1,64
65-Holi Gali,1,65
66-Keshighat,4,66
67-Kemar Van,4,67
68-Shanti Nagar,1,68
69-Ratan Chhatri,4,69
70-Biharipur,4,70
